"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Três Pontas (MG)";"272484";"265459";"331708";"334991";"436216";"434867";"560126";"512183";"568365";"542737";"738070";"857748";"859793"
"Tumiritinga (MG)";"12032";"12854";"14653";"17578";"19219";"21541";"22764";"25592";"31612";"34467";"38581";"40312";"44333"
"Tupaciguara (MG)";"116789";"137156";"164738";"195474";"210149";"209402";"215658";"239697";"280323";"295665";"312589";"411261";"417491"
"Turmalina (MG)";"26498";"34051";"36248";"44813";"49046";"60550";"63907";"72405";"98106";"101618";"127086";"185271";"198553"
"Turvolândia (MG)";"18487";"19388";"27354";"30824";"37366";"41969";"49452";"50917";"64455";"66296";"69516";"88526";"95962"
"Ubá (MG)";"361331";"387954";"448603";"521968";"626409";"699291";"791244";"852609";"983274";"1103924";"1374741";"1457233";"1545405"
"Ubaí (MG)";"16993";"18529";"21695";"24466";"24849";"29637";"33043";"37620";"46680";"51115";"54098";"58717";"61232"
"Ubaporanga (MG)";"26902";"33003";"33077";"34144";"41571";"52109";"50002";"56847";"64897";"70035";"72145";"92058";"89851"
"Uberaba (MG)";"2138012";"2625389";"3017848";"3882656";"4158507";"4105596";"4466155";"5411379";"6212441";"6486057";"7154606";"7954369";"9368416"
"Uberlândia (MG)";"5123526";"5562347";"6435690";"7635516";"8520552";"9196838";"10344790";"12499059";"14253571";"16092093";"18295771";"18715173";"21420638"
"Umburatiba (MG)";"6781";"7510";"9689";"10527";"10807";"12457";"13479";"14481";"17394";"18587";"20365";"21718";"23779"
"Unaí (MG)";"388462";"424113";"599382";"769951";"811430";"830594";"777081";"973744";"1332771";"1314666";"1402293";"1767336";"2004563"
"União de Minas (MG)";"33643";"33038";"39589";"52482";"57748";"60002";"59728";"67688";"77604";"90423";"125896";"195657";"117290"
"Uruana de Minas (MG)";"13456";"11238";"13458";"23255";"27102";"28947";"22742";"24137";"29794";"29218";"28513";"30682";"34599"
"Urucânia (MG)";"38509";"40433";"47011";"51017";"60507";"67381";"86371";"80648";"84484";"91781";"111793";"157721";"173354"
"Urucuia (MG)";"16566";"20204";"25202";"47763";"51389";"40047";"45270";"54384";"64280";"67907";"71213";"85895";"88295"
"Vargem Alegre (MG)";"12982";"13950";"15475";"17473";"20204";"22522";"25340";"27104";"32952";"32282";"42065";"41695";"42440"
"Vargem Bonita (MG)";"8117";"8930";"10765";"12425";"15961";"17094";"18467";"19065";"20495";"23088";"27553";"33845";"31377"
"Vargem Grande do Rio Pardo (MG)";"6357";"7231";"8297";"14234";"10388";"12445";"14359";"15966";"19971";"21690";"26181";"27553";"29767"
"Varginha (MG)";"1026551";"1085487";"1257098";"1419927";"1642548";"2096446";"2280084";"2909718";"2851403";"3043399";"3957625";"4146655";"4007089"
"Varjão de Minas (MG)";"29539";"30572";"41846";"42411";"58244";"70500";"61808";"74251";"84596";"89798";"86239";"117552";"119568"
"Várzea da Palma (MG)";"212779";"228113";"268312";"347461";"467082";"478891";"500174";"512575";"610996";"488945";"568200";"621796";"603919"
"Varzelândia (MG)";"30102";"34039";"39502";"42204";"48673";"52329";"53873";"60048";"74701";"78739";"88593";"99392";"108773"
"Vazante (MG)";"99291";"99410";"121917";"164723";"191825";"214740";"200514";"225469";"295099";"300114";"386625";"432775";"402137"
"Verdelândia (MG)";"19571";"20102";"25734";"28593";"31990";"38448";"49447";"45668";"61746";"65033";"68083";"79998";"80023"
"Veredinha (MG)";"10102";"12916";"13018";"17579";"14276";"15227";"17636";"20969";"27636";"24102";"43558";"49172";"53748"
"Veríssimo (MG)";"26485";"27554";"30875";"37891";"58843";"57974";"57533";"55389";"71090";"77659";"97854";"119947";"112055"
"Vermelho Novo (MG)";"14684";"13093";"12932";"14173";"18524";"24118";"24803";"22558";"26326";"29118";"29782";"38365";"42175"
"Vespasiano (MG)";"567637";"675075";"624512";"699995";"637332";"659556";"725513";"804298";"998163";"1074748";"1315506";"1631729";"1846613"
"Viçosa (MG)";"211551";"242373";"276826";"327498";"370636";"418586";"456331";"510633";"563940";"604455";"692429";"809720";"895426"
"Vieiras (MG)";"9077";"11107";"10260";"13126";"14205";"16821";"22766";"23716";"26059";"29436";"31295";"45327";"37092"
"Mathias Lobato (MG)";"6820";"7408";"8945";"9843";"12497";"14081";"15175";"16122";"17268";"19754";"20906";"23384";"26405"
"Virgem da Lapa (MG)";"19224";"21846";"25716";"29901";"33459";"35986";"41374";"44698";"50188";"55928";"61292";"82349";"76719"
"Virgínia (MG)";"24389";"29394";"30583";"36186";"35910";"41975";"44406";"54875";"60466";"80616";"83006";"87765";"91769"
"Virginópolis (MG)";"21414";"22857";"27396";"31731";"34371";"39918";"44617";"53477";"59852";"62717";"70362";"76618";"88267"
"Virgolândia (MG)";"11559";"11123";"13123";"14510";"16183";"18851";"20284";"23424";"27111";"29517";"32986";"37418";"41041"
"Visconde do Rio Branco (MG)";"166199";"187268";"230357";"274224";"327871";"355547";"375601";"406377";"469946";"501813";"578445";"650027";"695601"
"Volta Grande (MG)";"15492";"16644";"19012";"22467";"24570";"27238";"33363";"40784";"50679";"52581";"75926";"50147";"49619"
"Wenceslau Braz (MG)";"5969";"6433";"7453";"8239";"9236";"10197";"11445";"12135";"14761";"16242";"17603";"19315";"21629"
"Afonso Cláudio (ES)";"115798";"99318";"121836";"129296";"138543";"155785";"175564";"198222";"194813";"214842";"244436";"261317";"291268"
"Águia Branca (ES)";"41527";"37556";"35400";"43935";"51282";"66259";"72536";"113791";"100807";"94364";"111381";"132811";"142002"
"Água Doce do Norte (ES)";"34559";"33221";"40254";"45602";"55961";"63961";"75082";"93684";"95052";"91855";"81445";"95336";"109081"
"Alegre (ES)";"115505";"107614";"105114";"127361";"149544";"159288";"178004";"189877";"212125";"222741";"245048";"258634";"290348"
"Alfredo Chaves (ES)";"49656";"42116";"42365";"53669";"60896";"75914";"95196";"106590";"123621";"129001";"159933";"169915";"182291"
"Alto Rio Novo (ES)";"23542";"22006";"22290";"25799";"31525";"32226";"41439";"54152";"47293";"47907";"54207";"62929";"68668"
"Anchieta (ES)";"478058";"394113";"515757";"550214";"891401";"1340478";"1186931";"1232603";"2369002";"2193784";"4185902";"4320444";"5106128"
"Apiacá (ES)";"25184";"21866";"23696";"30078";"35107";"35664";"39078";"42593";"48654";"48966";"51022";"59408";"66705"
"Aracruz (ES)";"1077306";"1055153";"1356236";"1846597";"1819421";"2258305";"2669635";"2361093";"2534763";"1976182";"2833630";"3409711";"3712517"
"Atílio Vivacqua (ES)";"39903";"40025";"48059";"54702";"72543";"82201";"93228";"94574";"91407";"99059";"117323";"139875";"157549"
"Baixo Guandu (ES)";"96471";"101938";"119990";"130765";"147240";"158810";"192016";"212383";"231758";"235529";"277532";"308366";"355767"
"Barra de São Francisco (ES)";"121876";"122602";"135387";"172087";"214983";"252520";"282734";"322021";"334036";"395183";"432800";"462955";"562331"
"Boa Esperança (ES)";"52692";"62288";"66324";"73690";"91099";"111351";"125797";"141457";"150244";"153865";"151920";"185526";"197198"
"Bom Jesus do Norte (ES)";"32654";"32188";"33234";"38573";"46297";"47459";"53722";"57153";"63443";"66064";"76401";"81961";"89528"
"Brejetuba (ES)";"47951";"30040";"76876";"64003";"86016";"90189";"86329";"109161";"132555";"113064";"133898";"178920";"189198"
"Cachoeiro de Itapemirim (ES)";"939961";"1116796";"1165812";"1361889";"1621865";"1706196";"2023163";"2103269";"2243132";"2394478";"2702620";"2950568";"3282889"
"Cariacica (ES)";"1243222";"1350582";"1478899";"1676392";"2011940";"2345343";"2435848";"3038712";"3624616";"3862271";"4907147";"6119740";"6771111"
"Castelo (ES)";"142991";"141625";"142474";"175165";"221212";"227364";"266918";"285684";"298900";"322149";"382187";"439505";"481074"
"Colatina (ES)";"655006";"679716";"711200";"807345";"932910";"1070946";"1212377";"1369237";"1575095";"1732321";"1835286";"2100871";"2306903"
"Conceição da Barra (ES)";"220360";"173033";"271196";"248574";"358310";"415467";"419010";"432089";"328691";"404059";"489582";"459476";"430746"
"Conceição do Castelo (ES)";"45134";"42106";"52408";"54383";"65850";"75760";"79388";"97623";"90708";"98834";"111102";"134302";"137651"
"Divino de São Lourenço (ES)";"17425";"16274";"15434";"18475";"24773";"26003";"28645";"31277";"34265";"34957";"36857";"42386";"47769"
"Domingos Martins (ES)";"155961";"138365";"139987";"179692";"203137";"223661";"242542";"260471";"286747";"308484";"337215";"367526";"445395"
"Dores do Rio Preto (ES)";"23049";"24913";"24490";"31101";"35395";"38893";"45378";"45522";"48311";"47377";"53389";"66939";"78715"
"Ecoporanga (ES)";"88967";"85161";"93353";"107950";"134932";"163513";"223335";"220788";"219495";"228963";"261145";"271443";"332787"
"Fundão (ES)";"59785";"62931";"73771";"79110";"111682";"135575";"246912";"300662";"287437";"196511";"274607";"327431";"336214"
"Governador Lindenberg (ES)";"...";"42172";"43781";"50083";"62162";"67803";"64853";"102827";"100963";"95660";"94087";"146632";"161839"
"Guaçuí (ES)";"98812";"93359";"103953";"125616";"144182";"147287";"163453";"177887";"199204";"235514";"238693";"285538";"418910"
"Guarapari (ES)";"369226";"391161";"421204";"475000";"561885";"600934";"682078";"754601";"797662";"923475";"1059035";"1135739";"1228588"
"Ibatiba (ES)";"61076";"62590";"72447";"68949";"84959";"102860";"120258";"123064";"150301";"171916";"188892";"217416";"249784"
"Ibiraçu (ES)";"76498";"77097";"82153";"89042";"132158";"153313";"154914";"189806";"196332";"176371";"193615";"201083";"178175"
"Ibitirama (ES)";"33699";"29198";"27704";"35973";"44627";"46607";"52533";"61974";"65366";"63659";"76751";"86697";"102043"
"Iconha (ES)";"50451";"55270";"61942";"72984";"92393";"118789";"111796";"131522";"149051";"149699";"161221";"180932";"196988"
"Irupi (ES)";"50653";"42683";"48668";"49398";"62555";"68840";"81486";"85576";"91299";"89471";"105613";"183786";"194650"
"Itaguaçu (ES)";"89639";"91351";"69807";"84049";"85804";"106952";"124794";"149448";"128708";"144609";"141886";"189855";"229326"
"Itapemirim (ES)";"135818";"117628";"145965";"193385";"248971";"304292";"268729";"603123";"718406";"477952";"806480";"2957369";"4109906"
"Itarana (ES)";"54837";"47264";"45208";"55662";"59384";"60934";"74985";"80533";"91288";"88510";"103734";"107690";"115769"
"Iúna (ES)";"145528";"102474";"111944";"110801";"154732";"138854";"175991";"182077";"226354";"232085";"233041";"274127";"334950"
"Jaguaré (ES)";"138650";"183809";"188312";"180811";"296735";"362441";"444004";"479147";"445777";"333436";"395934";"563617";"628843"
"Jerônimo Monteiro (ES)";"32404";"31005";"31955";"39800";"47088";"49647";"53238";"61181";"66650";"71993";"78575";"87577";"105133"
"João Neiva (ES)";"76838";"87592";"92573";"110142";"150836";"253007";"231425";"192916";"187852";"161752";"208886";"232862";"246183"
"Laranja da Terra (ES)";"37224";"31671";"36136";"42286";"44503";"48581";"60619";"68543";"72113";"70633";"81200";"83120";"96412"
"Linhares (ES)";"742490";"786858";"875400";"940300";"1271581";"1401570";"1710176";"2006899";"2993846";"2288322";"2710150";"3623260";"4092257"
"Mantenópolis (ES)";"33024";"33204";"34005";"39651";"46783";"52019";"63843";"80362";"71373";"71660";"87352";"114470";"108981"
"Marataízes (ES)";"94692";"97659";"105179";"125477";"145342";"159312";"165962";"230135";"265092";"280795";"471868";"1346349";"1962590"
"Marechal Floriano (ES)";"72195";"67717";"82179";"93925";"106840";"134412";"147068";"184390";"178595";"185590";"198812";"214342";"235755"
"Marilândia (ES)";"41897";"38342";"40036";"52937";"57363";"61893";"82195";"102565";"96292";"103208";"143184";"269476";"276628"
"Mimoso do Sul (ES)";"116833";"98357";"110517";"122047";"144000";"154848";"167482";"186983";"209314";"231834";"251057";"338894";"331377"
"Montanha (ES)";"81422";"74030";"81525";"104458";"120987";"144360";"136546";"170857";"192684";"198603";"267631";"264653";"275949"
"Mucurici (ES)";"30348";"27895";"28342";"33717";"40001";"35451";"35970";"47649";"52565";"51852";"70648";"68603";"70893"
"Muniz Freire (ES)";"94378";"88199";"75618";"83794";"89288";"90671";"98470";"119698";"143082";"138060";"162909";"169060";"198284"
"Muqui (ES)";"40921";"38876";"39898";"47262";"55109";"60996";"70068";"80206";"87493";"93958";"100867";"117507";"138640"
"Nova Venécia (ES)";"211609";"218096";"229950";"254619";"277704";"299515";"360808";"436054";"470284";"469582";"550086";"609288";"683551"
"Pancas (ES)";"65730";"59773";"57862";"74431";"82835";"90215";"111501";"126155";"120328";"125163";"141121";"155523";"181830"
"Pedro Canário (ES)";"83197";"83985";"85863";"101716";"128212";"134527";"128529";"165055";"175209";"181608";"212101";"208411";"215329"
"Pinheiros (ES)";"119663";"137606";"151531";"180308";"333904";"300165";"339261";"427178";"408062";"392691";"456500";"390109";"419292"
"Piúma (ES)";"49097";"52637";"57667";"65384";"74548";"82465";"90697";"103443";"108557";"128643";"192819";"304695";"341892"
"Ponto Belo (ES)";"23886";"21383";"21032";"25205";"27765";"28985";"38023";"44902";"52543";"56428";"64463";"64364";"60711"
"Presidente Kennedy (ES)";"73601";"51254";"85418";"317481";"192080";"291935";"219805";"604791";"1051604";"779589";"1607473";"4015796";"5339306"
"Rio Bananal (ES)";"116143";"76391";"75953";"84401";"101725";"111353";"146634";"171347";"191547";"180748";"192424";"225949";"259412"
"Rio Novo do Sul (ES)";"38211";"36953";"40069";"47537";"57499";"71075";"78807";"80825";"84436";"87120";"100685";"108774";"125643"
"Santa Leopoldina (ES)";"54901";"50528";"48120";"59272";"73233";"80478";"90540";"105247";"106834";"107596";"117694";"125408";"135583"
"Santa Maria de Jetibá (ES)";"129988";"134751";"131228";"200295";"210392";"295324";"330545";"370485";"426042";"526522";"566325";"662984";"852500"
"Santa Teresa (ES)";"116752";"104942";"96129";"117582";"156442";"164566";"211672";"189562";"205294";"207302";"233981";"260544";"285984"
"São Domingos do Norte (ES)";"27985";"27191";"31956";"35114";"43631";"51219";"82135";"106440";"90589";"89198";"94085";"117854";"127381"
"São Gabriel da Palha (ES)";"107821";"111168";"119774";"138492";"166267";"198473";"218575";"254797";"259559";"271931";"300932";"370835";"411942"
"São José do Calçado (ES)";"45343";"48023";"51323";"59711";"70097";"58813";"55718";"62612";"67520";"70555";"82704";"94640";"97512"
"São Mateus (ES)";"567899";"475080";"447852";"493966";"657904";"734089";"1141310";"976070";"878060";"965502";"1188176";"1221618";"1474484"
"São Roque do Canaã (ES)";"49718";"48024";"54509";"57773";"61045";"60581";"70995";"84707";"80176";"83014";"89775";"119720";"144031"
"Serra (ES)";"2931328";"3557074";"3989680";"4737577";"6886875";"7185220";"9130483";"10402706";"10801039";"11520289";"12695245";"13729844";"14850851"
"Sooretama (ES)";"135913";"115741";"98178";"117081";"180680";"186677";"240266";"281421";"266609";"264736";"322043";"381489";"424481"
"Vargem Alta (ES)";"83935";"78836";"81196";"104644";"129087";"147538";"168064";"178229";"186415";"174459";"204073";"205928";"239251"
"Venda Nova do Imigrante (ES)";"81435";"75809";"85786";"111640";"135497";"141787";"162295";"190013";"219585";"233839";"297274";"310850";"319400"
"Viana (ES)";"291125";"307992";"374969";"513702";"518206";"639203";"591211";"691334";"939984";"892179";"978610";"1148824";"1250329"
"Vila Pavão (ES)";"43143";"41638";"40000";"44583";"53497";"72475";"92326";"110731";"118382";"114596";"111065";"125858";"157910"
"Vila Valério (ES)";"58967";"51092";"52950";"67672";"85681";"101047";"116215";"184598";"189331";"185468";"194436";"263766";"279129"
"Vila Velha (ES)";"2301720";"2447483";"2600028";"3073149";"3730693";"3611561";"3951336";"4669601";"5510536";"6063333";"6979663";"7244203";"7535326"
"Vitória (ES)";"6695378";"7049185";"7678733";"8426386";"11817767";"15797487";"16476046";"19152858";"23117059";"19747492";"24967943";"28357236";"28655025"
"Angra dos Reis (RJ)";"1143735";"1292634";"1429579";"1480830";"2498175";"3636340";"3492382";"4406839";"4793464";"9320339";"10119690";"10843105";"10973424"
"Aperibé (RJ)";"33157";"38052";"41825";"50447";"51855";"53243";"55720";"59387";"115651";"79090";"92689";"101842";"110190"
"Araruama (RJ)";"430335";"489151";"523657";"577545";"652796";"722319";"804763";"868439";"1026538";"1109706";"1270984";"1387170";"1622879"
"Areal (RJ)";"67614";"73117";"81637";"92632";"106714";"114050";"120140";"153286";"163021";"213548";"221574";"244609";"228416"
"Armação dos Búzios (RJ)";"285930";"327266";"443536";"581517";"660225";"948529";"1183980";"1163821";"1469080";"1036389";"1291105";"1794532";"2460753"
"Arraial do Cabo (RJ)";"159251";"169053";"215857";"215338";"234377";"263853";"270533";"272323";"328939";"311427";"358086";"445675";"1031588"
"Barra do Piraí (RJ)";"548697";"559688";"635288";"708695";"841829";"808005";"878064";"1007149";"1144755";"1281791";"1384019";"1398758";"1493524"
"Barra Mansa (RJ)";"1426334";"1521571";"1639163";"1944785";"2191710";"2229896";"2343945";"2187160";"2569295";"2799407";"3183947";"3194983";"3417627"
"Belford Roxo (RJ)";"1819462";"2037081";"2191303";"2302522";"2791641";"2677530";"2909479";"3110867";"3646178";"3986624";"4490432";"4923710";"7542639"
"Bom Jardim (RJ)";"102584";"108144";"124057";"128933";"142729";"147151";"164735";"185029";"291732";"303551";"357786";"390708";"449449"
"Bom Jesus do Itabapoana (RJ)";"170510";"183471";"200354";"234483";"255566";"262052";"286243";"305370";"380274";"388305";"410114";"446866";"472874"
"Cabo Frio (RJ)";"1148221";"1274917";"1849271";"2211178";"2799316";"4554008";"6459328";"5533398";"6616778";"5155745";"6557251";"9368109";"12480926"
"Cachoeiras de Macacu (RJ)";"232067";"335879";"389589";"482378";"654513";"524425";"614923";"658733";"809162";"866675";"925701";"879649";"941601"
"Cambuci (RJ)";"61733";"70951";"77152";"80392";"95965";"98822";"106620";"111883";"176727";"160389";"161852";"194135";"202313"
"Carapebus (RJ)";"178348";"168795";"195228";"228680";"282681";"336293";"415130";"380991";"462194";"859986";"586433";"796448";"908814"
"Comendador Levy Gasparian (RJ)";"71647";"61547";"64422";"76650";"94411";"103523";"112136";"129087";"163182";"133403";"130623";"138836";"150110"
"Campos dos Goytacazes (RJ)";"5644907";"6009792";"7854594";"9572418";"11041006";"16653399";"23134307";"20811798";"29206675";"20157567";"25836677";"37204320";"45129215"
"Cantagalo (RJ)";"283654";"264281";"299414";"303141";"362429";"299023";"321734";"363296";"505143";"540085";"537283";"478319";"523602"
"Cardoso Moreira (RJ)";"45160";"50836";"56990";"61449";"66737";"71300";"76231";"118349";"184274";"118434";"119470";"131699";"150214"
"Carmo (RJ)";"102314";"100902";"104968";"117081";"134481";"171700";"163486";"176590";"215341";"353935";"282503";"287456";"291399"
"Casimiro de Abreu (RJ)";"174014";"203725";"305154";"333298";"405129";"1052965";"1449606";"1138736";"1475015";"1310757";"1836698";"2696805";"3549999"
"Conceição de Macabu (RJ)";"74822";"80589";"90628";"97925";"109634";"113642";"124310";"132416";"168964";"164112";"185113";"213849";"231537"
"Cordeiro (RJ)";"84599";"91750";"100272";"105067";"120662";"127010";"140581";"155129";"184609";"185742";"216717";"235098";"250952"
"Duas Barras (RJ)";"43793";"47476";"54646";"61993";"71087";"72721";"80930";"84214";"139417";"135919";"159430";"173870";"171426"
"Duque de Caxias (RJ)";"8549867";"10121120";"11203464";"14132115";"16907063";"22623088";"22435604";"28321333";"18672981";"24473664";"26441151";"26623097";"27121886"
"Engenheiro Paulo de Frontin (RJ)";"63375";"62956";"68323";"82459";"83445";"83408";"96025";"101273";"100450";"138675";"147801";"151432";"549456"
"Guapimirim (RJ)";"183682";"196082";"212458";"245341";"279575";"289400";"316087";"345563";"385699";"414292";"492336";"511973";"561400"
"Iguaba Grande (RJ)";"78143";"87946";"99333";"114258";"136826";"142490";"146940";"162340";"178279";"209569";"239092";"268082";"329484"
"Itaboraí (RJ)";"778512";"844132";"972043";"1038845";"1193542";"1249145";"1366728";"1493476";"1711362";"1892456";"2178927";"2617022";"3097077"
"Itaguaí (RJ)";"1017259";"1158825";"1395199";"1322663";"2182003";"1926334";"1936863";"2493294";"2607221";"2145689";"4283923";"3806958";"3698896"
"Italva (RJ)";"56344";"61930";"64718";"70666";"79369";"81809";"89640";"102879";"153205";"136797";"135242";"158135";"170695"
"Itaocara (RJ)";"141291";"133655";"139590";"149124";"171829";"202549";"225316";"221646";"294815";"221688";"261095";"281235";"310138"
"Itaperuna (RJ)";"562694";"527532";"564624";"707894";"775929";"1283126";"1230453";"991392";"1123818";"1217034";"1418642";"1571372";"1682769"
"Itatiaia (RJ)";"478133";"518613";"403540";"371111";"762659";"582954";"553813";"505709";"520538";"610013";"1409954";"1809413";"2162485"
"Japeri (RJ)";"233632";"264177";"291105";"314481";"349537";"396662";"415373";"456114";"512731";"786129";"918132";"978029";"1026212"
"Laje do Muriaé (RJ)";"28514";"32423";"36128";"40268";"46586";"50866";"56349";"59741";"111967";"72307";"77844";"90440";"94880"
"Macaé (RJ)";"1872298";"2444604";"3273110";"3952120";"4718671";"5302364";"6477109";"6396606";"12969186";"9442184";"11169477";"12555229";"14459881"
"Macuco (RJ)";"25999";"29003";"33207";"39546";"47778";"50579";"53250";"56926";"68791";"67657";"83845";"94906";"93238"
"Magé (RJ)";"807973";"892679";"1012436";"1020965";"1140061";"1228607";"1340932";"1497207";"1665899";"1901559";"2063462";"2331198";"2512879"
"Mangaratiba (RJ)";"156749";"179303";"199737";"229857";"274152";"298302";"342872";"408298";"824593";"861046";"930883";"1053952";"1288086"
"Maricá (RJ)";"375543";"413379";"472123";"535598";"598946";"668296";"733086";"840136";"946473";"1073771";"1641357";"2681324";"5332833"
"Mendes (RJ)";"90891";"84319";"91721";"98082";"107805";"110983";"117422";"129669";"154057";"156017";"181062";"193998";"206043"
"Mesquita (RJ)";"...";"655829";"723020";"791747";"900039";"975591";"1078252";"1185348";"1335091";"1417129";"1537752";"1602137";"1692738"
"Miguel Pereira (RJ)";"130104";"139186";"152194";"167786";"184928";"203273";"213079";"231152";"249570";"274398";"332828";"322625";"345443"
"Miracema (RJ)";"111089";"120042";"131610";"143307";"158135";"167428";"175697";"193563";"249883";"233681";"260937";"291119";"314984"
"Natividade (RJ)";"68925";"73799";"80809";"86439";"95154";"113435";"119937";"125087";"177109";"159825";"155770";"169971";"194241"
"Nilópolis (RJ)";"701318";"744568";"808552";"844506";"926055";"1010145";"1089839";"1197483";"1349009";"1489045";"1685587";"1812902";"1935707"
"Niterói (RJ)";"4381733";"4431412";"5152378";"5757211";"6934977";"6835927";"7466738";"8853442";"9293714";"9904464";"11258565";"14566715";"15112496"
"Nova Friburgo (RJ)";"1220231";"1197758";"1404877";"1555047";"1672590";"1709352";"1941841";"2047884";"2297706";"2451977";"2855041";"2973781";"3164288"
"Nova Iguaçu (RJ)";"3996084";"3993912";"4408822";"4622021";"5205814";"5685554";"6252678";"6951218";"8473572";"8697427";"9543072";"10244175";"10665648"
"Paracambi (RJ)";"180834";"195423";"228067";"247023";"265235";"277237";"296938";"321706";"343895";"398414";"499958";"529594";"550832"
"Paraíba do Sul (RJ)";"166279";"204121";"225736";"250521";"271568";"310460";"330481";"358364";"427592";"468675";"536198";"561108";"1408617"
"Paraty (RJ)";"144734";"156164";"178255";"198770";"225203";"240324";"271605";"328231";"446681";"532403";"637594";"1141552";"1981523"
"Paty do Alferes (RJ)";"105971";"114005";"124121";"133948";"153734";"155026";"170828";"184042";"219185";"231407";"275445";"294311";"311208"
"Petrópolis (RJ)";"2204652";"2292940";"2851514";"2963803";"3174811";"3708451";"4505347";"4797486";"5776309";"6798301";"7059696";"9210974";"9133358"
"Pinheiral (RJ)";"73584";"81936";"91384";"99812";"112898";"121100";"128253";"143936";"177437";"179034";"209909";"225338";"246051"
"Piraí (RJ)";"384156";"350752";"380478";"488428";"630397";"685510";"751291";"749064";"767167";"1010482";"996452";"983037";"1161158"
"Porciúncula (RJ)";"64196";"71098";"82764";"100754";"144878";"120891";"133649";"147402";"208735";"190140";"189953";"214264";"229260"
"Porto Real (RJ)";"255387";"769953";"927116";"1326212";"2123177";"1814553";"1811700";"2234595";"3691767";"3744785";"4868607";"3683378";"3011763"
"Quatis (RJ)";"50410";"55473";"61408";"69179";"135644";"85981";"89647";"95905";"134406";"173632";"186536";"192020";"184508"
"Queimados (RJ)";"700819";"837782";"768350";"790603";"890443";"845592";"884010";"905432";"1043091";"1145721";"1673666";"1879577";"2041797"
"Quissamã (RJ)";"688627";"621909";"781505";"995044";"1131140";"1485830";"2369765";"2751262";"3462448";"2498914";"3114835";"4019401";"4891140"
"Resende (RJ)";"1705986";"1917949";"1689907";"2293070";"3106482";"2870472";"3103180";"3245682";"5062551";"4075192";"6417158";"5625535";"5965397"
"Rio Bonito (RJ)";"267178";"307077";"365110";"497784";"654717";"652994";"717851";"853960";"733606";"833169";"861365";"864744";"962501"
"Rio Claro (RJ)";"67470";"75387";"83273";"91662";"98766";"106598";"109080";"120748";"155609";"163948";"199301";"195396";"218163"
"Rio das Flores (RJ)";"40231";"42773";"45990";"200407";"227594";"251368";"179006";"187889";"216474";"290439";"342150";"440415";"139574"
"Rio das Ostras (RJ)";"1348680";"1552800";"2177067";"2520972";"2899056";"4503965";"5890125";"4699965";"6310067";"4950219";"6128903";"9224007";"11327340"
"Rio de Janeiro (RJ)";"76730775";"82601449";"91063238";"95751484";"112674641";"117771722";"128026084";"140094694";"158757286";"170517226";"190017531";"209376409";"220924561"
"Santa Maria Madalena (RJ)";"48995";"56130";"56679";"60391";"68891";"67831";"72638";"82660";"100984";"108788";"124232";"129619";"131003"
"Santo Antônio de Pádua (RJ)";"198975";"218569";"233227";"257114";"281654";"316723";"345046";"365546";"461126";"493270";"541935";"584641";"655036"
"São Francisco de Itabapoana (RJ)";"164141";"181587";"199879";"224323";"257906";"286461";"323015";"330236";"463008";"566729";"652453";"748503";"947696"
"São Fidélis (RJ)";"163765";"170028";"187718";"206366";"272196";"256465";"272608";"304921";"395223";"401300";"398683";"450892";"542097"
"São Gonçalo (RJ)";"4139434";"4548516";"5063328";"5299281";"5961354";"6326585";"6885641";"7410667";"8267153";"9034995";"10580654";"11578188";"11976716"
"São João da Barra (RJ)";"232952";"210594";"187892";"455768";"577935";"665837";"918109";"818035";"2704844";"2207113";"3488280";"5960466";"4899623"
"São João de Meriti (RJ)";"1934357";"2053615";"2292274";"2358907";"2570843";"2719461";"2900975";"3159446";"3595603";"4279650";"4873458";"5838837";"5707688"
"São José de Ubá (RJ)";"29988";"31286";"33335";"36482";"44720";"52495";"55259";"54749";"103651";"82300";"74014";"97775";"103507"
"São José do Vale do Rio Preto (RJ)";"76308";"88874";"99302";"106562";"119866";"128666";"132086";"137685";"173699";"548366";"649626";"412027";"250630"
"São Pedro da Aldeia (RJ)";"322495";"330007";"385190";"409741";"455361";"504365";"564174";"614085";"668163";"823015";"947201";"1041978";"1139841"
"São Sebastião do Alto (RJ)";"36422";"41762";"40397";"47462";"51429";"54534";"59586";"61599";"76642";"90289";"99338";"104016";"112611"
"Sapucaia (RJ)";"123546";"132766";"138096";"145932";"166486";"169528";"184315";"207990";"281565";"329528";"404775";"419466";"464737"
"Saquarema (RJ)";"236945";"281559";"306819";"333705";"382435";"466577";"580796";"700267";"721467";"810396";"948819";"1025125";"1146730"
"Seropédica (RJ)";"259749";"318611";"338276";"369124";"423551";"411575";"443418";"505069";"577307";"659885";"843659";"938953";"991753"
"Silva Jardim (RJ)";"81420";"92036";"97659";"107104";"123913";"132465";"140885";"146493";"199794";"186919";"192649";"211642";"239148"
