"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Careiro da Várzea (AM)";"32952";"37531";"54185";"57371";"59383";"70113";"97324";"104494";"100436";"112158";"172574";"171145";"169328"
"Coari (AM)";"385620";"390350";"512615";"594342";"730480";"938591";"1222446";"1113360";"1538300";"1103216";"1386568";"2251483";"2592501"
"Codajás (AM)";"24958";"29639";"37633";"40974";"46082";"47629";"60451";"66369";"87021";"84324";"134411";"179887";"178062"
"Eirunepé (AM)";"49902";"68986";"67439";"54477";"59331";"68387";"90424";"96128";"114889";"123079";"135675";"143202";"155416"
"Envira (AM)";"25246";"26754";"34192";"41343";"37686";"37724";"48978";"51710";"67657";"69890";"96315";"105393";"167845"
"Fonte Boa (AM)";"49415";"64452";"111970";"116342";"108718";"106013";"110367";"105026";"122272";"115896";"125417";"133966";"138039"
"Guajará (AM)";"21958";"22992";"38231";"39149";"41016";"35973";"44522";"49957";"65180";"63798";"62805";"72164";"92433"
"Humaitá (AM)";"53358";"53684";"72663";"76681";"81835";"108975";"140163";"147139";"184636";"225791";"235864";"288145";"298375"
"Ipixuna (AM)";"20681";"22674";"34433";"36066";"39188";"44137";"68666";"57874";"82885";"85508";"97950";"88265";"90541"
"Iranduba (AM)";"61388";"60810";"78805";"91351";"98123";"112689";"139261";"157342";"166619";"188132";"328329";"341340";"343081"
"Itacoatiara (AM)";"158097";"167447";"193262";"216973";"371755";"433516";"536568";"685767";"818950";"920228";"969587";"1037234";"1040442"
"Itamarati (AM)";"20335";"17189";"27868";"27734";"28734";"26930";"31677";"35606";"35155";"36914";"52413";"51032";"49062"
"Itapiranga (AM)";"10213";"11037";"15246";"16663";"18673";"21191";"29397";"32286";"35510";"37900";"56301";"78258";"90356"
"Japurá (AM)";"11691";"12669";"16988";"20986";"23268";"26723";"25255";"23094";"25082";"25540";"37648";"43083";"42525"
"Juruá (AM)";"10346";"11410";"15601";"17797";"19519";"22000";"30513";"34748";"35811";"40123";"50206";"58673";"62579"
"Jutaí (AM)";"35620";"43107";"67156";"70506";"75524";"55178";"61398";"59160";"62926";"68746";"89924";"96583";"106376"
"Lábrea (AM)";"43964";"48891";"61828";"65201";"64760";"92330";"139703";"174197";"367686";"394665";"284160";"275665";"410803"
"Manacapuru (AM)";"127465";"123683";"153462";"178150";"196090";"259915";"333988";"367190";"369342";"398175";"640545";"847132";"834748"
"Manaquiri (AM)";"17638";"22340";"29772";"30895";"34038";"46528";"59372";"65428";"71340";"83035";"124356";"127122";"128834"
"Manaus (AM)";"14094080";"15196719";"17777937";"20597351";"25466981";"27517836";"31801795";"34384768";"38028945";"40482809";"48435925";"51031965";"49824579"
"Manicoré (AM)";"64283";"67750";"104948";"130433";"106853";"200906";"168612";"135896";"213833";"239146";"368408";"409911";"465207"
"Maraã (AM)";"22712";"24319";"52155";"50955";"54415";"45093";"56593";"58051";"97544";"109100";"83819";"85244";"90534"
"Maués (AM)";"62647";"67705";"81067";"92102";"103770";"140455";"179156";"190100";"208244";"227011";"293089";"351124";"328508"
"Nhamundá (AM)";"24202";"27239";"36469";"40379";"42385";"67086";"82100";"90633";"80117";"86487";"73613";"96401";"115864"
"Nova Olinda do Norte (AM)";"44287";"47921";"76227";"81800";"81207";"74585";"93991";"99527";"96824";"108830";"154057";"165739";"165051"
"Novo Airão (AM)";"14512";"15713";"20699";"21578";"23333";"22925";"35397";"57166";"51450";"61749";"71912";"77322";"85247"
"Novo Aripuanã (AM)";"38842";"37930";"66696";"74352";"79571";"57043";"74276";"70197";"77642";"85714";"105012";"127898";"127434"
"Parintins (AM)";"144733";"141577";"201003";"212311";"230214";"278770";"352951";"348530";"402195";"460768";"689670";"667841";"675333"
"Pauini (AM)";"25638";"28476";"36803";"37160";"43416";"39133";"57513";"61685";"61797";"69640";"98441";"102811";"90932"
